Fechas;Casos;Vacunas
22/01/2020;0;0
23/01/2020;0;0
24/01/2020;0;0
25/01/2020;0;0
26/01/2020;0;0
27/01/2020;0;0
28/01/2020;0;0
29/01/2020;0;0
30/01/2020;0;0
31/01/2020;0;0
01/02/2020;1;0
02/02/2020;0;0
03/02/2020;0;0
04/02/2020;0;0
05/02/2020;0;0
06/02/2020;0;0
07/02/2020;0;0
08/02/2020;0;0
09/02/2020;1;0
10/02/2020;0;0
11/02/2020;0;0
12/02/2020;0;0
13/02/2020;0;0
14/02/2020;0;0
15/02/2020;0;0
16/02/2020;0;0
17/02/2020;0;0
18/02/2020;0;0
19/02/2020;0;0
20/02/2020;0;0
21/02/2020;0;0
22/02/2020;0;0
23/02/2020;0;0
24/02/2020;0;0
25/02/2020;4;0
26/02/2020;7;0
27/02/2020;2;0
28/02/2020;17;0
29/02/2020;13;0
01/03/2020;39;0
02/03/2020;36;0
03/03/2020;45;0
04/03/2020;57;0
05/03/2020;37;0
06/03/2020;141;0
07/03/2020;100;0
08/03/2020;173;0
09/03/2020;400;0
10/03/2020;622;0
11/03/2020;582;0
12/03/2020;0;0
13/03/2020;2955;0
14/03/2020;1159;0
15/03/2020;1407;0
16/03/2020;2144;0
17/03/2020;1806;0
18/03/2020;2162;0
19/03/2020;4053;0
20/03/2020;2447;0
21/03/2020;4964;0
22/03/2020;3394;0
23/03/2020;6368;0
24/03/2020;4749;0
25/03/2020;9630;0
26/03/2020;8271;0
27/03/2020;7933;0
28/03/2020;7516;0
29/03/2020;6875;0
30/03/2020;7846;0
31/03/2020;7967;0
01/04/2020;8195;0
02/04/2020;7947;0
03/04/2020;7134;0
04/04/2020;6969;0
05/04/2020;5478;0
06/04/2020;5029;0
07/04/2020;5267;0
08/04/2020;6278;0
09/04/2020;5002;0
10/04/2020;5051;0
11/04/2020;4754;0
12/04/2020;3804;0
13/04/2020;3268;0
14/04/2020;2442;0
15/04/2020;5103;0
16/04/2020;7304;0
17/04/2020;5891;0
18/04/2020;887;0
19/04/2020;6948;0
20/04/2020;1536;0
21/04/2020;3968;0
22/04/2020;4211;0
23/04/2020;4635;0
24/04/2020;0;0
25/04/2020;2915;0
26/04/2020;1729;0
27/04/2020;1831;0
28/04/2020;1308;0
29/04/2020;2144;0
30/04/2020;518;0
01/05/2020;1781;0
02/05/2020;1366;0
03/05/2020;884;0
04/05/2020;545;0
05/05/2020;1318;0
06/05/2020;996;0
07/05/2020;1122;0
08/05/2020;1410;0
09/05/2020;721;0
10/05/2020;772;0
11/05/2020;3086;0
12/05/2020;594;0
13/05/2020;661;0
