Fechas;Casos;Vacunas
15/03/2021;5089;440051
16/03/2021;5294;529119
17/03/2021;5758;581855
18/03/2021;6303;660276
19/03/2021;4802;740655
20/03/2021;5587;844285
21/03/2021;5312;419618
22/03/2021;5342;412197
23/03/2021;5379;494805
24/03/2021;5604;580307
25/03/2021;6220;559324
26/03/2021;6187;694959
27/03/2021;3865;663162
28/03/2021;3862;441142
29/03/2021;4654;405039
30/03/2021;4040;503599
31/03/2021;4052;627008
01/04/2021;4478;616234
02/04/2021;3402;354051
03/04/2021;3423;286799
04/04/2021;2297;95763
05/04/2021;2762;105334
06/04/2021;2379;272020
07/04/2021;2762;507926
08/04/2021;3030;545511
09/04/2021;0;557014
10/04/2021;2584;586339
11/04/2021;1730;258888
12/04/2021;3568;261096
13/04/2021;2471;388808
14/04/2021;2491;461618
15/04/2021;2671;547465
16/04/2021;2756;635221
17/04/2021;2206;639080
18/04/2021;1882;304418
19/04/2021;2963;373423
20/04/2021;2524;457649
21/04/2021;2396;534693
22/04/2021;2728;562056
23/04/2021;2678;600801
24/04/2021;2061;696403
25/04/2021;1712;340496
26/04/2021;2064;395383
27/04/2021;2685;495593
28/04/2021;2166;597025
29/04/2021;2445;614135
30/04/2021;2381;567374
01/05/2021;1907;515479
02/05/2021;1671;262815
03/05/2021;1649;200099
04/05/2021;1946;384656
05/05/2021;2144;543323
06/05/2021;2613;608471
07/05/2021;2490;598823
08/05/2021;2047;607864
09/05/2021;1770;287797
10/05/2021;2357;346888
11/05/2021;2474;485260
12/05/2021;2284;636647
13/05/2021;2656;637325
14/05/2021;2193;613470
15/05/2021;2027;628577
16/05/2021;1926;315063
17/05/2021;1979;365782
18/05/2021;0;498101
19/05/2021;2135;633876
20/05/2021;2694;688563
21/05/2021;2702;646340
22/05/2021;2523;762361
23/05/2021;2092;378496
24/05/2021;2362;455334
25/05/2021;2410;574134
26/05/2021;2987;663577
27/05/2021;3380;690613
28/05/2021;4028;640393
29/05/2021;3240;602374
30/05/2021;3111;331209
31/05/2021;3283;288649
01/06/2021;3099;447072
02/06/2021;4261;521782
03/06/2021;5179;568907
04/06/2021;6140;567955
05/06/2021;5651;676991
06/06/2021;5223;387286
07/06/2021;5584;419009
08/06/2021;5966;450284
09/06/2021;7312;492817
10/06/2021;7232;509645
11/06/2021;7958;515723
12/06/2021;7550;574511
13/06/2021;7319;328349
14/06/2021;7606;368555
15/06/2021;7587;420699
16/06/2021;8808;430399
17/06/2021;10809;467238
18/06/2021;10270;428817
19/06/2021;10075;516604
20/06/2021;9072;273158
21/06/2021;10467;60405
22/06/2021;11481;550712
23/06/2021;15882;375635
24/06/2021;16702;399347
25/06/2021;15296;377267
26/06/2021;17943;433946
27/06/2021;14623;263267
28/06/2021;22644;265276
29/06/2021;20223;288679
30/06/2021;25606;316965
01/07/2021;27556;345591
02/07/2021;26706;301083
03/07/2021;24447;333598
04/07/2021;23818;188632
05/07/2021;27100;224776
06/07/2021;28334;238937
07/07/2021;32048;258430
08/07/2021;31977;271897
09/07/2021;35200;268902
10/07/2021;31800;305209
11/07/2021;31352;149620
12/07/2021;33998;179656
13/07/2021;36216;217349
14/07/2021;41748;246035
15/07/2021;47891;263574
16/07/2021;51273;271805
17/07/2021;53969;292431
18/07/2021;47599;147064
19/07/2021;39538;179230
20/07/2021;46125;200314
21/07/2021;43404;228439
22/07/2021;39315;232333
23/07/2021;35654;232315
24/07/2021;31285;247691
25/07/2021;28652;142507
26/07/2021;24386;178955
27/07/2021;23228;187052
28/07/2021;25402;215020
29/07/2021;30633;222271
30/07/2021;29213;207820
31/07/2021;25754;250840
01/08/2021;24139;139276
02/08/2021;21687;152284
03/08/2021;21466;172051
04/08/2021;28936;199003
05/08/2021;29825;208192
06/08/2021;31442;205332
07/08/2021;28229;251573
08/08/2021;27110;144913
09/08/2021;24881;169278
10/08/2021;23297;188654
11/08/2021;29260;215329
12/08/2021;32706;236943
13/08/2021;32362;212075
14/08/2021;29143;246187
15/08/2021;26426;157640
16/08/2021;28176;174106
17/08/2021;26628;189699
18/08/2021;33646;216507
19/08/2021;36273;231038
20/08/2021;36987;228277
21/08/2021;31783;267887
22/08/2021;31976;156697
23/08/2021;31675;177684
24/08/2021;30619;186086
25/08/2021;35547;229781
26/08/2021;37962;200076
27/08/2021;37690;176393
28/08/2021;32087;176959
29/08/2021;32937;103830
30/08/2021;26227;86291
31/08/2021;31931;159301
01/09/2021;35493;157473
02/09/2021;37830;159377
03/09/2021;42065;145856
04/09/2021;36642;169607
05/09/2021;36515;94988
06/09/2021;40801;102713
07/09/2021;37179;112472
