Fechas;Casos;Vacunas
22/01/2020;0;0
23/01/2020;0;0
24/01/2020;0;0
25/01/2020;0;0
26/01/2020;0;0
27/01/2020;0;0
28/01/2020;0;0
29/01/2020;0;0
30/01/2020;0;0
31/01/2020;2;0
01/02/2020;0;0
02/02/2020;0;0
03/02/2020;6;0
04/02/2020;0;0
05/02/2020;1;0
06/02/2020;0;0
07/02/2020;0;0
08/02/2020;4;0
09/02/2020;1;0
10/02/2020;0;0
11/02/2020;1;0
12/02/2020;1;0
13/02/2020;1;0
14/02/2020;1;0
15/02/2020;0;0
16/02/2020;0;0
17/02/2020;1;0
18/02/2020;0;0
19/02/2020;1;0
20/02/2020;2;0
21/02/2020;1;0
22/02/2020;0;0
23/02/2020;5;0
24/02/2020;2;0
25/02/2020;4;0
26/02/2020;3;0
27/02/2020;7;0
28/02/2020;12;0
29/02/2020;5;0
01/03/2020;33;0
02/03/2020;40;0
03/03/2020;55;0
04/03/2020;56;0
05/03/2020;49;0
06/03/2020;79;0
07/03/2020;55;0
08/03/2020;54;0
09/03/2020;147;0
10/03/2020;258;0
11/03/2020;411;0
12/03/2020;489;0
13/03/2020;479;0
14/03/2020;364;0
15/03/2020;442;0
16/03/2020;612;0
17/03/2020;768;0
18/03/2020;999;0
19/03/2020;1055;0
20/03/2020;1254;0
21/03/2020;1197;0
22/03/2020;1376;0
23/03/2020;2335;0
24/03/2020;2371;0
25/03/2020;2693;0
26/03/2020;3084;0
27/03/2020;3201;0
28/03/2020;2822;0
29/03/2020;2857;0
30/03/2020;4273;0
31/03/2020;4515;0
01/04/2020;4914;0
02/04/2020;4865;0
03/04/2020;4915;0
04/04/2020;4020;0
05/04/2020;3594;0
06/04/2020;5275;0
07/04/2020;5450;0
08/04/2020;5129;0
09/04/2020;4852;0
10/04/2020;4315;0
11/04/2020;3577;0
12/04/2020;3495;0
13/04/2020;4183;0
14/04/2020;4325;0
15/04/2020;5065;0
16/04/2020;5298;0
17/04/2020;4965;0
18/04/2020;4716;0
19/04/2020;3852;0
20/04/2020;4858;0
21/04/2020;4760;0
22/04/2020;5490;0
23/04/2020;5143;0
24/04/2020;4973;0
25/04/2020;3748;0
26/04/2020;3468;0
27/04/2020;4702;0
28/04/2020;4721;0
29/04/2020;5435;0
30/04/2020;4956;0
01/05/2020;4727;0
02/05/2020;3221;0
03/05/2020;2974;0
04/05/2020;3378;0
05/05/2020;3684;0
06/05/2020;3831;0
07/05/2020;3767;0
08/05/2020;3049;0
09/05/2020;2150;0
10/05/2020;2321;0
11/05/2020;3583;0
12/05/2020;3389;0
13/05/2020;3298;0
