Fechas;Casos;Vacunas
15/03/2021;11358;0
16/03/2021;4962;97323
17/03/2021;6092;114867
18/03/2021;6216;136278
19/03/2021;0;0
20/03/2021;0;0
21/03/2021;0;0
22/03/2021;16471;0
23/03/2021;5516;87288
24/03/2021;0;210897
25/03/2021;13419;219643
26/03/2021;7586;227635
27/03/2021;0;0
28/03/2021;0;0
29/03/2021;15501;0
30/03/2021;4994;165172
31/03/2021;8534;298549
01/04/2021;7041;306995
02/04/2021;0;0
03/04/2021;9571;0
04/04/2021;0;0
05/04/2021;10360;0
06/04/2021;6623;277307
07/04/2021;8788;336846
08/04/2021;9901;453682
09/04/2021;10875;420296
10/04/2021;0;0
11/04/2021;0;0
12/04/2021;22744;0
13/04/2021;6292;288660
14/04/2021;10474;362416
15/04/2021;9663;449012
16/04/2021;10598;445670
17/04/2021;0;0
18/04/2021;0;0
19/04/2021;21071;0
20/04/2021;0;187433
21/04/2021;17718;456777
22/04/2021;10814;412155
23/04/2021;11731;356287
24/04/2021;0;0
25/04/2021;0;0
26/04/2021;19852;278736
27/04/2021;7665;383195
28/04/2021;8665;481910
29/04/2021;10143;504823
30/04/2021;9135;0
01/05/2021;0;0
02/05/2021;0;0
03/05/2021;16353;252244
04/05/2021;4515;485756
05/05/2021;6317;573014
06/05/2021;7960;558552
07/05/2021;8186;0
08/05/2021;0;0
09/05/2021;0;0
10/05/2021;13984;332037
11/05/2021;4941;461154
12/05/2021;6418;448125
13/05/2021;5701;611767
14/05/2021;6347;0
15/05/2021;0;0
16/05/2021;0;0
17/05/2021;11061;274255
18/05/2021;3988;386612
19/05/2021;6080;529130
20/05/2021;5733;459280
21/05/2021;4792;0
22/05/2021;0;0
23/05/2021;0;0
24/05/2021;11067;342246
25/05/2021;5359;404562
26/05/2021;5007;464314
27/05/2021;5290;388511
28/05/2021;5482;0
29/05/2021;0;0
30/05/2021;0;0
31/05/2021;9732;292096
01/06/2021;4388;487514
02/06/2021;4984;575098
03/06/2021;5250;570225
04/06/2021;4969;0
05/06/2021;0;0
06/06/2021;0;0
07/06/2021;9542;465056
08/06/2021;3504;531198
09/06/2021;4427;624261
10/06/2021;14004;654232
11/06/2021;4142;0
12/06/2021;0;0
13/06/2021;0;0
14/06/2021;8167;389822
15/06/2021;3432;591933
16/06/2021;3832;620823
17/06/2021;4197;566794
18/06/2021;4214;0
19/06/2021;0;0
20/06/2021;0;0
21/06/2021;7209;522341
22/06/2021;4040;680540
23/06/2021;4341;733245
24/06/2021;4507;514619
25/06/2021;4924;0
26/06/2021;0;0
27/06/2021;0;0
28/06/2021;10179;650834
29/06/2021;7091;714957
30/06/2021;9227;747589
01/07/2021;12345;765399
02/07/2021;12563;0
03/07/2021;0;0
04/07/2021;0;0
05/07/2021;32607;584703
06/07/2021;14137;689411
07/07/2021;17384;690749
08/07/2021;17317;688005
09/07/2021;21879;0
10/07/2021;0;0
11/07/2021;0;0
12/07/2021;33932;538114
13/07/2021;43960;596030
14/07/2021;26390;673737
15/07/2021;27688;653851
16/07/2021;31060;0
17/07/2021;0;0
18/07/2021;0;0
19/07/2021;61628;480033
20/07/2021;27286;583022
21/07/2021;30587;586223
22/07/2021;29535;569988
23/07/2021;31171;0
24/07/2021;0;0
25/07/2021;0;0
26/07/2021;61625;358252
27/07/2021;26399;567775
28/07/2021;27149;527790
29/07/2021;26689;473459
30/07/2021;24753;0
31/07/2021;0;0
01/08/2021;0;0
02/08/2021;55939;345885
03/08/2021;20327;511277
04/08/2021;21874;449410
05/08/2021;21387;440054
06/08/2021;21561;0
07/08/2021;0;0
08/08/2021;0;0
09/08/2021;39638;320922
10/08/2021;15680;497546
11/08/2021;17023;522627
12/08/2021;17410;470093
13/08/2021;15657;0
14/08/2021;0;0
15/08/2021;0;0
16/08/2021;25726;304868
17/08/2021;14336;469973
18/08/2021;11956;472369
19/08/2021;12445;425428
20/08/2021;12450;0
21/08/2021;0;0
22/08/2021;0;0
23/08/2021;23899;347417
24/08/2021;10072;374568
25/08/2021;10781;401531
26/08/2021;7115;321489
27/08/2021;9489;0
28/08/2021;0;0
29/08/2021;0;0
30/08/2021;15489;228122
31/08/2021;7767;457207
01/09/2021;6818;334510
