Paises;Dia -851;Dia -850;Dia -849;Dia -848;Dia -847;Dia -846;Dia -845;Dia -844;Dia -843;Dia -842;Dia -841;Dia -840;Dia -839;Dia -838;Dia -837;Dia -836;Dia -835;Dia -834;Dia -833;Dia -832;Dia -831;Dia -830;Dia -829;Dia -828;Dia -827;Dia -826;Dia -825;Dia -824;Dia -823;Dia -822;Dia -821;Dia -820;Dia -819;Dia -818;Dia -817;Dia -816;Dia -815;Dia -814;Dia -813;Dia -812;Dia -811;Dia -810;Dia -809;Dia -808;Dia -807;Dia -806;Dia -805;Dia -804;Dia -803;Dia -802;Dia -801;Dia -800;Dia -799;Dia -798;Dia -797;Dia -796;Dia -795;Dia -794;Dia -793;Dia -792;Dia -791;Dia -790;Dia -789;Dia -788;Dia -787;Dia -786;Dia -785;Dia -784;Dia -783;Dia -782;Dia -781;Dia -780;Dia -779;Dia -778;Dia -777;Dia -776;Dia -775;Dia -774;Dia -773;Dia -772;Dia -771;Dia -770;Dia -769;Dia -768;Dia -767;Dia -766;Dia -765;Dia -764;Dia -763;Dia -762;Dia -761;Dia -760;Dia -759;Dia -758;Dia -757;Dia -756;Dia -755;Dia -754;Dia -753;Dia -752;Dia -751
Andorra;90;49;109;0;147;42;37;67;48;76;65;49;48;47;77;106;76;0;102;33;45;52;62;51;50;45;34;43;35;28;46;52;50;44;0;64;20;53;41;17;25;31;36;30;57;50;15;54;44;64;66;68;49;26;57;59;40;0;141;97;0;0;96;136;50;78;92;45;0;111;114;71;37;83;50;47;42;78;63;58;48;52;35;45;53;67;35;34;45;24;37;40;39;36;36;40;35;17;1049;922;?
Argentina;10880;11163;11859;8468;5645;7893;10621;10332;10097;9608;7140;4184;4265;7164;8593;9043;7846;6098;5432;5726;8037;7533;7629;6899;5201;3278;3199;3610;5303;6994;7112;5274;3558;5062;6981;6843;7326;7002;5795;4116;5853;8141;8586;0;10689;3713;5030;7216;11650;11765;11586;4080;5240;5884;8222;13790;13441;13835;13346;11057;7808;8704;13783;12725;13286;12332;8932;7264;8185;12141;12112;11396;10753;8362;5031;7578;10409;10843;9471;9838;6902;4975;6614;9695;9196;8891;8374;6680;3658;5154;7794;7739;7311;7151;6057;4245;3259;4003;4796;3724;?
Belgium;7916;5002;4619;6268;4659;1932;2734;5182;4477;3416;3224;1875;1123;1901;3164;2565;3297;3619;2151;746;1867;3040;2605;2582;2503;1814;859;1957;3071;2754;0;2762;4978;1074;2211;3636;3146;2835;2721;2170;981;2198;3212;2583;2342;784;847;857;1677;2831;2254;1793;880;842;876;1848;2997;2923;2048;1991;1569;960;2099;2927;2637;2203;2120;1630;932;1479;3006;2571;2444;2583;1812;1192;1784;3020;2775;2683;2717;2316;1264;1854;3124;2452;2585;2438;1740;873;1851;2617;2149;2120;1895;1516;857;1717;2715;1998;?
Belize;106;76;119;68;78;22;37;38;60;38;54;73;66;86;88;92;72;60;96;111;0;0;1382;147;218;168;184;60;506;286;160;208;122;82;134;161;119;0;0;0;354;112;113;120;0;0;71;30;77;56;52;0;31;94;37;80;90;44;50;64;37;29;34;53;37;73;0;51;12;23;27;34;24;22;28;20;18;28;29;32;31;0;37;12;21;30;5;24;0;33;9;28;7;20;11;0;30;13;1460;1279;?
Bolivia;112;113;180;112;65;125;102;96;187;98;68;56;56;113;129;114;104;98;30;86;102;184;192;139;167;68;97;189;214;325;312;333;120;195;371;498;451;484;621;253;362;674;1005;1057;469;759;494;751;1293;1485;1752;861;1070;606;1010;1597;1713;1910;2263;1644;1098;1392;1473;2057;2198;2573;2091;1503;1550;2357;2655;2648;1864;1732;1048;1781;2390;2866;2652;2666;2005;1438;1464;2127;2021;1787;1676;1218;839;1220;1544;1771;1352;1244;938;696;412;562;817;825;?
Bosnia and Herzegovina;1541;1728;1332;1275;1056;733;1255;1633;1180;1237;1315;697;547;1186;1589;924;1179;1279;664;527;1184;1293;1161;1254;975;739;437;1077;1296;1286;940;763;811;344;869;902;855;794;643;0;698;764;584;728;593;439;361;220;543;531;0;1158;0;502;0;747;0;0;1528;459;254;0;567;468;343;0;0;0;1072;300;334;489;214;0;0;723;389;332;330;303;0;0;702;262;367;0;606;0;0;667;342;253;427;279;0;0;737;274;362;492;?
Bulgaria;3945;3414;4212;2498;816;3519;4828;3938;3899;3983;2279;1123;3146;4382;3712;3568;3327;1792;739;2814;3475;3138;3280;3614;2037;577;2764;3980;3328;3075;3097;1287;497;2095;2743;1959;2042;1739;1002;166;1277;1799;1615;772;257;469;332;337;1438;1729;1046;274;340;171;1029;1310;1002;867;753;394;105;620;750;535;535;552;233;77;570;544;482;455;566;266;121;772;827;598;560;695;349;130;832;967;719;883;910;493;182;1115;1212;913;1070;966;506;163;1068;1349;1290;1466;?
Canada;4120;5491;4864;4285;4105;5818;4423;4714;5015;5073;4829;4634;6772;5417;5645;5862;5869;5584;5453;7674;5800;6368;6529;6823;6183;5931;7815;6261;6364;6564;7018;6175;5992;8545;6351;6818;7385;7194;6173;6069;7628;6524;6689;6353;5924;5377;5544;6270;9405;7714;6995;6333;5814;9625;9717;7528;8911;9231;8890;6890;6404;7420;6803;7091;7019;6949;5801;4884;6045;5316;5834;5843;5668;4302;3940;5352;4364;4451;4644;4688;3703;3203;4011;3630;3601;3929;3964;2971;2578;3506;2948;3609;3376;3310;2521;2210;1968;3978;4015;4443;?
Denmark;994;1011;1037;1078;1058;1195;1220;1257;1297;1257;1273;850;1169;1367;1183;1191;1323;1636;998;1129;1468;1586;1605;1603;2115;1745;2046;2150;2558;3132;3075;3552;2642;3337;2992;3692;4034;4508;3285;2828;3198;2543;3297;2869;2992;1834;2180;2479;2621;2783;2249;2451;1611;1170;2076;1992;2216;1842;1660;1743;1246;1239;1076;1358;0;2161;879;889;807;724;886;760;773;879;754;625;652;592;668;456;431;377;488;397;425;553;438;413;435;430;366;470;478;428;274;295;437;384;1221;1227;?
Dominican Republic;134;371;918;671;499;479;494;460;1026;601;986;640;419;282;285;1526;855;876;820;515;314;895;812;671;975;798;685;492;531;1560;731;1133;1107;492;613;788;720;624;1135;1322;666;878;566;1158;1381;905;824;641;860;1314;1206;1433;747;366;2043;475;529;1115;1045;2106;1459;1179;1506;1595;1104;1482;2370;1779;1848;1625;1532;1549;1473;1362;1439;1216;1143;1150;1155;1802;2141;1507;1026;834;1357;1671;1478;1722;1250;721;419;934;1242;1050;1131;873;795;532;1728;1328;?
